repository,comment_url,author,author_association,file_path,line,comment_body,matched_keywords,owner,repo,comment_id,comment_year,generated_test,syntactic_validity,correct_archunit_usage,semantic_alignment_score,violation_detection_potential,test_execution_success,evaluation_explanation,is_obsolete,is_rule_clear,test_generation_possible,mutation_test_result,is_design_rule,auto_manual_agreement_syntactic_validity,auto_manual_agreement_correct_archunit_usage,auto_manual_agreement_semantic_alignment_score,auto_manual_agreement_violation_detection_potential
apache/jackrabbit-oak,https://github.com/apache/jackrabbit-oak/pull/800#discussion_r1052445924,jelmini,CONTRIBUTOR,oak-segment-tar/src/main/java/org/apache/jackrabbit/oak/segment/file/tar/TarWriter.java,,"""An alternative would be to declare a functional interface declaring an `IOException`:
 
 ```java
 interface OnFlushSuccessCallback {
   void run() throws IOException;
 }
 ```
 Then use it instead of `Runnable`:
 ```java
 default void flush(OnFlushSuccessCallback onSuccess) throws IOException
 ```
 With this, no need to catch the `IOException` to wrap it in a `RuntimeException` :
 ```java
  archive.flush(() -> {
      writeBinaryReferences();
      writeGraph();
 });
 ```""",interface,apache,jackrabbit-oak,1052445924.0,2022.0,"```java
import com.tngtech.archunit.core.domain.JavaClasses;
import com.tngtech.archunit.core.importer.ClassFileImporter;
import com.tngtech.archunit.lang.ArchRule;
import org.junit.Test;

import static com.tngtech.archunit.lang.syntax.ArchRuleDefinition.classes;

public class TarWriterArchitectureTest {

    @Test
    public void tarWriterShouldUseOnFlushSuccessCallback() {
        JavaClasses importedClasses = new ClassFileImporter()
                .importPackages(""org.apache.jackrabbit.oak.segment.file.tar"");

        ArchRule rule = classes()
                .that().resideInAPackage(""..tar.."")
                .should().onlyHaveDependentClassesThat()
                .haveSimpleName(""OnFlushSuccessCallback"");

        rule.check(importedClasses);
    }
}
```",True,TRUE,1.0,0,FALSE,"Está parcialmente alinhado com a regra, mas é muito restritivo",False,False,,,,True,False,False,True
slackhq/kaldb,https://github.com/slackhq/kaldb/pull/8#discussion_r622719483,vthacker,COLLABORATOR,src/main/java/com/slack/kaldb/logstore/LogStore.java,26.0,"""Not super happy that `LogStore` interface is leaking direct lucene abstractions - but it's tough ! We already have it expose `SearcherManager`""",interface,slackhq,kaldb,622719483.0,2021.0,NO_ARCHITECTURAL_TEST_POSSIBLE,False,FALSE,0.0,0,FALSE,O comentário realmente não está claro de que é uma regra,False,False,False,,False,False,True,True,True
slackhq/kaldb,https://github.com/slackhq/kaldb/pull/38#discussion_r676851578,mansu,COLLABORATOR,src/main/java/com/slack/kaldb/metadata/core/PersistentMutableMetadataStore.java,20.0,"""All of the log stores would use the same base class. So, it would be very confusing to understand which class is taking an action if we used the same base class logger. We pass in the child class logger here it's obvious which store is logging making the change. So, all SnapshotStore api calls will be logged under it's name as opposed to KaldbMetadataStore, which is also called by SearchStore and other stores in the future.""",base class,slackhq,kaldb,676851578.0,2021.0,"```java
import com.tngtech.archunit.core.domain.JavaClasses;
import com.tngtech.archunit.core.importer.ClassFileImporter;
import com.tngtech.archunit.lang.ArchRule;
import org.junit.Test;

import static com.tngtech.archunit.lang.syntax.ArchRuleDefinition.classes;

public class LoggerArchitectureTest {

    @Test
    public void snapshotStoreShouldUseItsOwnLogger() {
        JavaClasses importedClasses = new ClassFileImporter()
                .importPackages(""com.slack.kaldb"");

        ArchRule rule = classes()
                .that().haveSimpleName(""SnapshotStore"")
                .should().callMethodWhere(
                        target -> target.getName().equals(""getLogger"") &&
                                target.getOwner().getName().equals(""SnapshotStore"")
                );

        rule.check(importedClasses);
    }
}
```",True,FALSE,1.0,0,FALSE,Não dá pra entender muita coisa so pelo comentário e está obsoleta,True,True,,,,True,False,True,False
slackhq/kaldb,https://github.com/slackhq/kaldb/pull/122#discussion_r715215978,mansu,COLLABORATOR,kaldb/src/main/java/com/slack/kaldb/chunk/ReadWriteChunkImpl.java,,"""I think it's better to add this method to the chunk interface since local disk clean up is very important for all types of chunks.""",interface,slackhq,kaldb,715215978.0,2021.0,"```java
import com.tngtech.archunit.core.domain.JavaClasses;
import com.tngtech.archunit.core.importer.ClassFileImporter;
import com.tngtech.archunit.lang.ArchRule;
import org.junit.Test;

import static com.tngtech.archunit.lang.syntax.ArchRuleDefinition.methods;

public class ChunkInterfaceArchitectureTest {

    @Test
    public void chunkInterfaceShouldDeclareCleanUpMethod() {
        JavaClasses importedClasses = new ClassFileImporter()
                .importPackages(""com.slack.kaldb.chunk"");

        ArchRule rule = methods()
                .that().haveName(""cleanUp"")
                .should().beDeclaredInClassesThat().areInterfaces();

        rule.check(importedClasses);
    }
}
```",True,TRUE,1.0,0,FALSE,"Tem um pouco a ver com a regra, mas ta uma logica invertida. Em vez de ver se a interface X tem um método cleanUp, verifica se os metodos de cleanUp estao declarados em interface",False,True,,,,True,False,False,True
slackhq/kaldb,https://github.com/slackhq/kaldb/pull/122#discussion_r715801226,bryanlb,CONTRIBUTOR,kaldb/src/main/java/com/slack/kaldb/chunk/Chunk.java,42.0,"""This method is still available on the `ReadWriteChunkImpl` (and we do still check before snapshot). It's just not on the `Chunk` interface as this doesn't make sense for the `ReadOnlyChunkImpl`.""",interface,slackhq,kaldb,715801226.0,2021.0,"```java
import com.tngtech.archunit.core.domain.JavaClasses;
import com.tngtech.archunit.core.importer.ClassFileImporter;
import com.tngtech.archunit.lang.ArchRule;
import org.junit.Test;

import static com.tngtech.archunit.lang.syntax.ArchRuleDefinition.methods;

public class ChunkArchitectureTest {

    @Test
    public void readOnlyChunkShouldNotHaveSnapshotMethod() {
        JavaClasses importedClasses = new ClassFileImporter()
                .importPackages(""com.slack.kaldb.chunk"");

        ArchRule rule = methods()
                .that().areDeclaredInClassesThat().implement(""com.slack.kaldb.chunk.Chunk"")
                .and().haveName(""snapshot"")
                .should().notBeDeclaredInClassesThat().haveSimpleName(""ReadOnlyChunkImpl"");

        rule.check(importedClasses);
    }
}
```",True,FALSE,1.0,0,FALSE,"""This method"", qual método?
- inventou um método do archunit
- corresponde parcialmente a regra, so nao pelo nome do metodo (inferiu que era snapshot)",False,False,,,,True,False,True,False
slackhq/kaldb,https://github.com/slackhq/kaldb/pull/177#discussion_r770726967,bryanlb,CONTRIBUTOR,kaldb/src/main/java/com/slack/kaldb/chunkManager/ChunkCleanerService.java,,"""It seems like we should be able to simplify this, and keep all of this logic contained to the `ChunkCleanerService` instead of adding it up to the `Chunk` interface. The concept of a snapshot is specific to the `ReadWriteChunk`, so it's a bit awkward to add this to the interface.
 
 We already have to check the the `snapshotTime` against the `staleDataCutoff` - why not just do something like the following?
 
 ```
 private boolean chunkIsStale(ChunkInfo chunkInfo, long staleDataCutoffMs) {
   return chunkInfo.getChunkSnapshotTimeEpochMs() > 0 && chunkInfo.getChunkSnapshotTimeEpochMs() <= staleDataCutoffMs;
 }
 ```
 
 We shouldn't need to check `readOnly` - if something has been snapshotted it should have a snapshot time populated, else it should be zero.""",interface,slackhq,kaldb,770726967.0,2021.0,"```java
import com.tngtech.archunit.core.domain.JavaClasses;
import com.tngtech.archunit.core.importer.ClassFileImporter;
import com.tngtech.archunit.lang.ArchRule;
import org.junit.Test;

import static com.tngtech.archunit.lang.syntax.ArchRuleDefinition.noClasses;

public class ChunkCleanerServiceArchitectureTest {

    @Test
    public void chunkCleanerServiceShouldNotDependOnChunkInterface() {
        JavaClasses importedClasses = new ClassFileImporter()
                .importPackages(""com.slack.kaldb"");

        ArchRule rule = noClasses()
                .that().resideInAPackage(""..chunkManager.."")
                .should().dependOnClassesThat().resideInAPackage(""..chunk.."");

        rule.check(importedClasses);
    }
}
```",True,TRUE,0.0,0,FALSE,Não representa a regra. A regra fala para deixar uma logica em uma classe em vez da interface e ele verifica se a classe nao depende da interface.,False,False,,,,True,True,True,True
slackhq/kaldb,https://github.com/slackhq/kaldb/pull/340#discussion_r923592056,bryanlb,CONTRIBUTOR,kaldb/src/main/java/com/slack/kaldb/server/ArmeriaService.java,,"""This probably shouldn't be an argument on the constructor, but instead a builder method.
 
 The only arguments that are expected to go to a builder's constructor are those that are required (when it's not a step-builder). Request timeout isn't a required argument, and if it's not provided we can leave it unset and fallback to the default Armeria behavior.""",expected to,slackhq,kaldb,923592056.0,2022.0,"```java
import com.tngtech.archunit.core.domain.JavaClasses;
import com.tngtech.archunit.core.importer.ClassFileImporter;
import com.tngtech.archunit.lang.ArchRule;
import org.junit.Test;

import static com.tngtech.archunit.lang.syntax.ArchRuleDefinition.noClasses;

public class ArmeriaServiceArchitectureTest {

    @Test
    public void armeriaServiceShouldNotHaveRequestTimeoutInConstructor() {
        JavaClasses importedClasses = new ClassFileImporter()
                .importPackages(""com.slack.kaldb.server"");

        ArchRule rule = noClasses()
                .that().haveSimpleName(""ArmeriaService"")
                .should().haveRawConstructorParameter(""requestTimeout"");

        rule.check(importedClasses);
    }
}
```",True,FALSE,1.0,0,FALSE,"- inventou um método
- Não representa a regra. A regra fala para ter um builder em vez de um argumento no construtor.",False,False,,,,True,False,True,False
slackhq/kaldb,https://github.com/slackhq/kaldb/pull/358#discussion_r954009179,mansu,COLLABORATOR,kaldb/src/main/java/com/slack/kaldb/chunkManager/ChunkRollOverStrategy.java,,"""Let's remove this method from the interface. I don't think we need to expose this as a guage in the IndexingChunkManager. If needed, we can expose the same info as a metric in the roll over strategy impl class.""",interface,slackhq,kaldb,954009179.0,2022.0,"```java
import com.tngtech.archunit.core.domain.JavaClasses;
import com.tngtech.archunit.core.importer.ClassFileImporter;
import com.tngtech.archunit.lang.ArchRule;
import org.junit.Test;

import static com.tngtech.archunit.lang.syntax.ArchRuleDefinition.noMethods;

public class ChunkRollOverStrategyArchitectureTest {

    @Test
    public void chunkRollOverStrategyShouldNotExposeGaugeMethod() {
        JavaClasses importedClasses = new ClassFileImporter()
                .importPackages(""com.slack.kaldb"");

        ArchRule rule = noMethods()
                .that().areDeclaredInClassesThat().implement(""com.slack.kaldb.chunkManager.ChunkRollOverStrategy"")
                .should().beDeclaredInClassesThat().haveSimpleName(""IndexingChunkManager"");

        rule.check(importedClasses);
    }
}
```",True,TRUE,0.0,0,FALSE,- Não representa a regra,False,False,,,,True,False,True,True
slackhq/kaldb,https://github.com/slackhq/kaldb/pull/394#discussion_r1015991707,mansu,COLLABORATOR,kaldb/src/main/java/com/slack/kaldb/logstore/DocumentBuilder.java,15.0,"""Interfaces are public by default.""",interface,slackhq,kaldb,1015991707.0,2022.0,"```java
import com.tngtech.archunit.core.domain.JavaClasses;
import com.tngtech.archunit.core.importer.ClassFileImporter;
import com.tngtech.archunit.lang.ArchRule;
import org.junit.Test;

import static com.tngtech.archunit.lang.syntax.ArchRuleDefinition.classes;

public class DocumentBuilderArchitectureTest {

    @Test
    public void interfacesShouldBePublic() {
        JavaClasses importedClasses = new ClassFileImporter()
                .importPackages(""com.slack.kaldb.logstore"");

        ArchRule rule = classes()
                .that().areInterfaces()
                .should().bePublic();

        rule.check(importedClasses);
    }
}
```",True,TRUE,2.0,2,TRUE,"Regra clara e simples, teste que funciona",False,True,,"- tirar ""public"" de alguma interface",,True,True,True,True
slackhq/kaldb,https://github.com/slackhq/kaldb/pull/477#discussion_r1117281741,bryanlb,CONTRIBUTOR,kaldb/src/main/java/com/slack/kaldb/logstore/search/aggregations/AggBuilderBase.java,10.0,"""This is correct, we can simplify this as you mentioned and it will work. The reason for this approach was that it mirrors that of OpenSearch abstract class `AggregationBuilder` and the `BaseAggregationBuilder` [interface](https://github.com/opensearch-project/OpenSearch/blob/main/server/src/main/java/org/opensearch/search/aggregations/BaseAggregationBuilder.java). The `AggBuilder` interface exists so that we have an easy option for adding pipeline aggregation support in the future when we decide to support it.""","interface, abstract class",slackhq,kaldb,1117281741.0,2023.0,NO_ARCHITECTURAL_TEST_POSSIBLE,False,FALSE,0.0,0,FALSE,"Não descrita como uma regra; mas na validação do pipeline consideraríamos isso uma regra, então tá errado não ter gerado teste",True,True,True,,,False,True,True,True
